,Climate ID,Cool Deg Days (°C),Cool Deg Days Flag,Data Quality,Date/Time,Day,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Heat Deg Days (°C),Heat Deg Days Flag,Latitude (y),Longitude (x),Max Temp (°C),Max Temp Flag,Mean Temp (°C),Mean Temp Flag,Min Temp (°C),Min Temp Flag,Month,Snow on Grnd (cm),Snow on Grnd Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag,Station Name,Total Precip (mm),Total Precip Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.2,Unnamed: 0.3,Year
0,8502400,0.0,,,2023-01-01,1,,M,23.2,,55.45,-60.22,-2.7,,-5.2,,-7.7,,1,,,,M,HOPEDALE (AUT),13.1,M,,,,,317,0,0,0,2023
1,8502400,0.0,,,2023-01-02,2,,M,26.4,,55.45,-60.22,-4.0,,-8.4,,-12.8,,1,,,,M,HOPEDALE (AUT),,M,,,,,316,1,1,1,2023
2,8502400,0.0,,,2023-01-03,3,,M,29.1,,55.45,-60.22,-8.7,,-11.1,,-13.5,,1,,,,M,HOPEDALE (AUT),,M,,,,,315,2,2,2,2023
3,8502400,0.0,,,2023-01-04,4,,M,30.4,,55.45,-60.22,-9.0,,-12.4,,-15.8,,1,,,,M,HOPEDALE (AUT),,M,,,,,314,3,3,3,2023
4,8502400,0.0,,,2023-01-05,5,,M,33.9,,55.45,-60.22,-13.2,,-15.9,,-18.5,,1,,,,M,HOPEDALE (AUT),,M,,,,,313,4,4,4,2023
5,8502400,0.0,,,2023-11-09,9,,M,20.0,,55.45,-60.22,-0.4,,-2.0,,-3.5,,11,,,,M,HOPEDALE (AUT),,M,,,,,312,5,5,5,2023
6,8502400,0.0,,,2023-01-07,7,,M,30.4,,55.45,-60.22,-10.5,,-12.4,,-14.3,,1,,,,M,HOPEDALE (AUT),,M,,,,,311,6,6,6,2023
7,8502400,0.0,,,2023-01-08,8,,M,34.5,,55.45,-60.22,-12.5,,-16.5,,-20.5,,1,,,,M,HOPEDALE (AUT),,M,,,,,310,7,7,7,2023
8,8502400,0.0,,,2023-01-09,9,,M,35.9,,55.45,-60.22,-11.7,,-17.9,,-24.1,,1,,,,M,HOPEDALE (AUT),,M,,,,,309,8,8,8,2023
9,8502400,0.0,,,2023-01-10,10,,M,34.2,,55.45,-60.22,-12.8,,-16.2,,-19.6,,1,,,,M,HOPEDALE (AUT),,M,,,,,308,9,9,9,2023
10,8502400,0.0,,,2023-01-11,11,,M,29.0,,55.45,-60.22,-3.7,,-11.0,,-18.4,,1,,,,M,HOPEDALE (AUT),,M,,,,,307,10,10,10,2023
11,8502400,0.0,,,2023-01-12,12,,M,29.2,,55.45,-60.22,-5.6,,-11.2,,-16.9,,1,,,,M,HOPEDALE (AUT),,M,,,,,305,11,11,11,2023
12,8502400,0.0,,,2023-01-13,13,,M,34.9,,55.45,-60.22,-11.5,,-16.9,,-22.3,,1,,,,M,HOPEDALE (AUT),,M,,,,,303,12,12,12,2023
13,8502400,0.0,,,2023-01-14,14,,M,38.3,,55.45,-60.22,-17.3,,-20.3,,-23.2,,1,,,,M,HOPEDALE (AUT),,M,,,,,302,13,13,13,2023
14,8502400,0.0,,,2023-01-15,15,,M,34.0,,55.45,-60.22,-11.1,,-16.0,,-20.8,,1,,,,M,HOPEDALE (AUT),,M,,,,,301,14,14,14,2023
15,8502400,0.0,,,2023-01-16,16,,M,33.4,,55.45,-60.22,-10.9,,-15.4,,-19.8,,1,,,,M,HOPEDALE (AUT),,M,,,,,300,15,15,15,2023
16,8502400,0.0,,,2023-01-17,17,,M,25.0,,55.45,-60.22,-2.9,,-7.0,,-11.1,,1,,,,M,HOPEDALE (AUT),,M,,,,,299,16,16,16,2023
17,8502400,0.0,,,2023-01-18,18,,M,20.7,,55.45,-60.22,-2.0,,-2.7,,-3.3,,1,,,,M,HOPEDALE (AUT),,M,,,,,298,17,17,17,2023
18,8502400,0.0,,,2023-01-19,19,,M,25.4,,55.45,-60.22,-2.6,,-7.4,,-12.2,,1,,,,M,HOPEDALE (AUT),,M,,,,,296,18,18,18,2023
19,8502400,0.0,,,2023-01-20,20,,M,32.9,,55.45,-60.22,-11.6,,-14.9,,-18.2,,1,,,,M,HOPEDALE (AUT),,M,,,,,295,19,19,19,2023
20,8502400,0.0,,,2023-01-21,21,,M,31.5,,55.45,-60.22,-10.8,,-13.5,,-16.3,,1,,,,M,HOPEDALE (AUT),,M,,,,,294,20,20,20,2023
21,8502400,0.0,,,2023-01-22,22,,M,31.5,,55.45,-60.22,-10.3,,-13.5,,-16.6,,1,,,,M,HOPEDALE (AUT),,M,,,,,292,21,21,21,2023
22,8502400,0.0,,,2023-01-23,23,,M,30.1,,55.45,-60.22,-9.0,,-12.1,,-15.2,,1,,,,M,HOPEDALE (AUT),,M,,,,,291,22,22,22,2023
23,8502400,0.0,,,2023-01-24,24,,M,29.9,,55.45,-60.22,-8.2,,-11.9,,-15.6,,1,,,,M,HOPEDALE (AUT),,M,,,,,290,23,23,23,2023
24,8502400,0.0,,,2023-01-25,25,,M,36.6,,55.45,-60.22,-13.2,,-18.6,,-23.9,,1,,,,M,HOPEDALE (AUT),,M,,,,,289,24,24,24,2023
25,8502400,0.0,,,2023-01-26,26,,M,34.2,,55.45,-60.22,-6.9,,-16.2,,-25.4,,1,,,,M,HOPEDALE (AUT),,M,,,,,288,25,25,25,2023
26,8502400,0.0,,,2023-01-27,27,,M,33.9,,55.45,-60.22,-6.2,,-15.9,,-25.6,,1,,,,M,HOPEDALE (AUT),,M,,,,,287,26,26,26,2023
27,8502400,0.0,,,2023-01-28,28,,M,34.8,,55.45,-60.22,-6.6,,-16.8,,-27.0,,1,,,,M,HOPEDALE (AUT),,M,,,,,286,27,27,27,2023
28,8502400,0.0,,,2023-01-29,29,,M,34.0,,55.45,-60.22,-6.5,,-16.0,,-25.5,,1,,,,M,HOPEDALE (AUT),,M,,,,,285,28,28,28,2023
29,8502400,0.0,,,2023-01-30,30,,M,43.3,,55.45,-60.22,-22.0,,-25.3,,-28.5,,1,,,,M,HOPEDALE (AUT),,M,,,,,284,29,29,29,2023
30,8502400,0.0,,,2023-01-31,31,,M,44.2,,55.45,-60.22,-23.0,,-26.2,,-29.5,,1,,,,M,HOPEDALE (AUT),,M,,,,,283,30,30,30,2023
31,8502400,0.0,,,2023-02-01,1,,M,43.7,,55.45,-60.22,-21.8,,-25.7,,-29.6,,2,,,,M,HOPEDALE (AUT),,M,,,,,282,31,31,31,2023
32,8502400,0.0,,,2023-02-02,2,,M,46.6,,55.45,-60.22,-26.3,,-28.6,,-31.0,,2,,,,M,HOPEDALE (AUT),,M,,,,,281,32,32,32,2023
33,8502400,0.0,,,2023-02-03,3,,M,36.0,,55.45,-60.22,-4.6,,-18.0,,-31.3,,2,,,,M,HOPEDALE (AUT),,M,,,,,280,33,33,33,2023
34,8502400,0.0,,,2023-10-07,7,,M,2.0,,55.45,-60.22,20.4,,16.0,,11.6,,10,,,,M,HOPEDALE (AUT),,M,,,,,279,34,34,34,2023
35,8502400,0.0,,,2023-02-05,5,,M,42.5,,55.45,-60.22,-21.3,,-24.5,,-27.6,,2,,,,M,HOPEDALE (AUT),,M,,,,,278,35,35,35,2023
36,8502400,0.0,,,2023-02-06,6,,M,43.2,,55.45,-60.22,-21.8,,-25.2,,-28.5,,2,,,,M,HOPEDALE (AUT),,M,,,,,277,36,36,36,2023
37,8502400,0.0,,,2023-02-07,7,,M,37.1,,55.45,-60.22,-10.9,,-19.1,,-27.3,,2,,,,M,HOPEDALE (AUT),,M,,,,,276,37,37,37,2023
38,8502400,0.0,,,2023-02-08,8,,M,31.6,,55.45,-60.22,-7.5,,-13.6,,-19.8,,2,,,,M,HOPEDALE (AUT),,M,,,,,275,38,38,38,2023
39,8502400,0.0,,,2023-02-09,9,,M,34.2,,55.45,-60.22,-11.5,,-16.2,,-20.8,,2,,,,M,HOPEDALE (AUT),,M,,,,,274,39,39,39,2023
40,8502400,0.0,,,2023-02-10,10,,M,37.2,,55.45,-60.22,-15.0,,-19.2,,-23.4,,2,,,,M,HOPEDALE (AUT),,M,,,,,273,40,40,40,2023
41,8502400,0.0,,,2023-02-11,11,,M,40.7,,55.45,-60.22,-19.5,,-22.7,,-25.9,,2,,,,M,HOPEDALE (AUT),,M,,,,,272,41,41,41,2023
42,8502400,0.0,,,2023-02-12,12,,M,38.4,,55.45,-60.22,-14.7,,-20.4,,-26.1,,2,,,,M,HOPEDALE (AUT),,M,,,,,271,42,42,42,2023
